"SKS","Antal i åbningstid","2018_2019"
"UXCC00/UXCD00","3957","4893"
"UXCD00","2806","6471"
"UXCA00","1702","5107"
"UXCC77","1377","1415"
"UXCC00","1307","1639"
"UXCC00A/UXCC00A"," 415"," 415"
"UXCG40/UXCG40"," 393"," 617"
"UXCD62"," 380"," 691"
"UXCG50/UXCG50"," 284"," 362"
"UXCC00/UXCC00A/UXCC00A"," 276"," 276"
"UXCD80/UXCD80"," 271"," 274"
"UXCD55"," 266"," 275"
"UXCC00A"," 235"," 235"
"UXCB00/UXCC00/UXCD00"," 203"," 231"
"UXCA40"," 168"," 184"
"UXCC00/UXCC00"," 154"," 447"
"UXCF15/UXCF15"," 147"," 201"
"UXCD65"," 135"," 138"
"UXCG15/UXCG15"," 124"," 267"
"UXCD00/UXCD62"," 120"," 208"
"UXCD60"," 116"," 195"
"UXCF40/UXCF40"," 100"," 122"
"UXCC70/UXCD30","  97"," 164"
"UXCF25/UXCF25","  94"," 162"
"UXCG00/UXCG00/UXCG00","  93","  96"
"UXCG10","  93"," 195"
"UXCG25/UXCG25","  89"," 190"
"UXCE10","  88"," 411"
"UXCD00/UXCD00","  82"," 125"
"UXCD40","  75","  77"
"UXCG50/UXCG50/UXCG50","  69","  71"
"UXCA25","  68"," 335"
"UXCA90","  60"," 280"
"UXCA00/UXCC00/UXCD00","  59","  82"
"UXCC00/UXCD10","  52","  78"
"UXCG40/UXCG40/UXCG40","  45","  55"
"UXCE30","  41","  98"
"UXCB00/UXCC00","  37","  49"
"UXCF50/UXCF50","  36","  52"
"UXCC70","  34","  36"
"UXCD00/UXCD00/UXCD30/UXCD30","  32","  44"
"UXCA00/UXCB00/UXCC00/UXCD00","  30","  39"
"UXCD15","  30","  48"
"UXCE10/UXCE20/UXCE30","  29","  40"
"UXCC20","  26","  29"
"UXCA00/UXCA25","  25"," 120"
"UXCE20/UXCE30","  24","  73"
"UXCG20/UXCG20","  23","  47"
"UXCG30/UXCG30","  21","  66"
"UXCD00/UXCD40","  19","  19"
"UXCA40/UXCC77","  18","  19"
"UXCB00","  16","  23"
"UXCA00/UXCD00","  15","  38"
"UXCC00/UXCC00A","  15","  15"
"UXCD00/UXCD60/UXCD62","  13","  22"
"UXCC00/UXCD00/UXCD30","  12","  25"
"UXCD10","  10","  13"
"UXCF20/UXCF20","  10","  14"
"UXCB00/UXCC00/UXCD10","   9","  10"
"UXCA00/UXCC00","   8","  27"
"UXCA00/UXCE10","   8","  62"
"UXCE20","   7","  24"
"UXCA25/UXCB00/UXCC00/UXCD00","   6","   9"
"UXCC00/UXCC00A/UXCD00","   6","   9"
"UXCF30/UXCF30","   6","   9"
"UXCA65/UXCA65/UXCA65","   5","   6"
"UXCA05","   4","   6"
"UXCA25/UXCC00/UXCD00","   4","   4"
"UXCC00/UXCC77","   4","   4"
"UXCD30","   4","   4"
"UXCA00/UXCA40","   3","   3"
"UXCA00/UXCB00/UXCC00","   3","   4"
"UXCA40/UXCC00","   3","   3"
"UXCC35","   3","   5"
"UXCC75","   3","   5"
"UXCE10/UXCE20","   3","   9"
"UXCG00/UXCG00","   3","   4"
"UXCG15/UXCG15/UXCG15","   3","   8"
"UXCG25/UXCG25/UXCG25","   3","   3"
"AUX22","   2","   2"
"KJAA00A","   2","   2"
"UXCA00/UXCA25/UXCE10","   2","   4"
"UXCA00/UXCD00/UXCD00","   2","   3"
"UXCA00/UXCF15/UXCF15","   2","   4"
"UXCA15","   2","   2"
"UXCA25/UXCC00","   2","   2"
"UXCA25/UXCD00","   2","   2"
"UXCA60","   2","   5"
"UXCC00/UXCC77/UXCD00","   2","   2"
"UXCC77/UXCD00","   2","   2"
"UXCD00/UXCD40/UXCD55","   2","   2"
"UXCD60/UXCD75","   2","   2"
"UXCE50","   2","   4"
"UXCF15/UXCF15/UXCF15","   2","   3"
"AZAB7/UXCC00A/UXCC00A","   1","   1"
"KJJA10","   1","   1"
"NAAC","   1","   1"
"NAAC/UXCC77","   1","   1"
"UXCA00/UXCB00","   1","   1"
"UXCA00/UXCE10/UXCE30","   1","   1"
"UXCA00/UXCE30","   1","   1"
"UXCA00/UXCG10","   1","   5"
"UXCA00/UXCG15/UXCG15","   1","   3"
"UXCA20","   1","   6"
"UXCA25/UXCC77","   1","   2"
"UXCA40/UXCB00/UXCC00/UXCD00","   1","   1"
"UXCA40/UXCC00/UXCD00","   1","   2"
"UXCA40/UXCE10","   1","   1"
"UXCA50/UXCB00","   1","   1"
"UXCA90/UXCC00/UXCD00","   1","   2"
"UXCA90/UXRC00/UXRG10","   1","   1"
"UXCC00/UXCC00/UXCC77","   1","   3"
"UXCC00/UXCC00A/UXCC00A/UXCD00","   1","   1"
"UXCC00/UXCC70/UXCD30","   1","   1"
"UXCC00/UXCD00/UXCD55","   1","   1"
"UXCC00/UXCD00/UXCE10","   1","   4"
"UXCC00/UXCD00/UXCG15/UXCG15/UXCG15","   1","   1"
"UXCC00/UXCD60","   1","   1"
"UXCC00/UXCD65","   1","   1"
"UXCC00/UXCE10","   1","   6"
"UXCC00A/UXCC70/UXCD30","   1","   1"
"UXCC30","   1","   2"
"UXCC77/UXCD80/UXCD80","   1","   1"
"UXCD00/UXCD00/UXCD30","   1","   2"
"UXCD00/UXCD30","   1","   7"
"UXCD00/UXCE10/UXCE20/UXCE30","   1","   1"
"UXCD75","   1","   1"
"UXCE10/UXCE30","   1","   3"
"UXCE30/UXCG00/UXCG00/UXCG00","   1","   1"
"UXCE30/UXCG50/UXCG50/UXCG50","   1","   1"
"UXCF25/UXCF25/UXCF40/UXCF40","   1","   1"
"UXCF30/UXCF30/UXCF40/UXCF40","   1","   1"
"UXCF40/UXCF40/UXCF40","   1","   1"
"UXCG00/UXCG00/UXCG00/UXCG50/UXCG50/UXCG50","   1","   1"
"UXCG20/UXCG20/UXCG20","   1","   2"
"UXCG25/UXCG25/UXCG25/UXCG40/UXCG40/UXCG40","   1","   1"
"UXCG25/UXCG25/UXCG25/UXCG50/UXCG50/UXCG50","   1","   1"
"UXCG30/UXCG30/UXCG30","   1","   2"
"UXRA25","   1","   1"
"UXRC00","   1","   1"
"UXCA00/UXCC00/UXCC00",NA,"   9"
"UXCA25/UXCE10",NA,"   4"
"UXCA00/UXCE10/UXCE20/UXCE30",NA,"   3"
"BMBZ01A/UXCD00",NA,"   2"
"UXCA25/UXCA90",NA,"   2"
"UXCA90/UXCG30/UXCG30",NA,"   2"
"UXCC00/UXCD00/UXCG10",NA,"   2"
"UXCD00/UXCE10",NA,"   2"
"UXCE10/UXCG10",NA,"   2"
"UXCE30/UXCG10",NA,"   2"
"BMBZ01A/UXCC00/UXCD00",NA,"   1"
"NAAC/UXCA00/UXCG15/UXCG15",NA,"   1"
"NAAC/UXCA25",NA,"   1"
"UXCA00/UXCA05",NA,"   1"
"UXCA00/UXCA25/UXCE10/UXCG10",NA,"   1"
"UXCA00/UXCB00/UXCC00/UXCD10",NA,"   1"
"UXCA00/UXCB00/UXCE10",NA,"   1"
"UXCA00/UXCC00/UXCD10",NA,"   1"
"UXCA00/UXCC70/UXCD30",NA,"   1"
"UXCA00/UXCC77",NA,"   1"
"UXCA00/UXCD00/UXCD62",NA,"   1"
"UXCA00/UXCD15",NA,"   1"
"UXCA00/UXCD62",NA,"   1"
"UXCA00/UXCE10/UXCE20",NA,"   1"
"UXCA00/UXCE10/UXCE20/UXCE30/UXCG15/UXCG15",NA,"   1"
"UXCA00/UXCE20",NA,"   1"
"UXCA00/UXCE20/UXCE30",NA,"   1"
"UXCA00/UXCF25/UXCF25",NA,"   1"
"UXCA00/UXCG40/UXCG40",NA,"   1"
"UXCA25/UXCB00",NA,"   1"
"UXCA25/UXCF25/UXCF25",NA,"   1"
"UXCA90/UXCF25/UXCF25",NA,"   1"
"UXCA90/UXCG50/UXCG50",NA,"   1"
"UXCA90/UXRC00",NA,"   1"
"UXCB00/UXCC00/UXCD00/UXCD00",NA,"   1"
"UXCB00/UXCD00",NA,"   1"
"UXCB00/UXCF15/UXCF15",NA,"   1"
"UXCC00/UXCC00/UXCD00",NA,"   1"
"UXCC00/UXCD00/UXCG20/UXCG20",NA,"   1"
"UXCC70/UXCD30/UXCE10/UXCE20/UXCE30",NA,"   1"
"UXCD00/UXCD60",NA,"   1"
"UXCD00/UXCG15/UXCG15",NA,"   1"
"UXCD00/UXCG50/UXCG50",NA,"   1"
"UXCE10/UXCF40/UXCF40",NA,"   1"
"UXCE20/UXCE30/UXCG40/UXCG40",NA,"   1"
"UXCE20/UXCF15/UXCF15",NA,"   1"
"UXCE20/UXCG15/UXCG15",NA,"   1"
"UXCF15/UXCF15/UXCG15/UXCG15",NA,"   1"
"UXCF25/UXCF25/UXCF25",NA,"   1"
"UXCG10/UXCG10/UXCG15/UXCG15",NA,"   1"
"UXCG10/UXCG40/UXCG40",NA,"   1"
"UXCG25/UXCG25/UXCG40/UXCG40",NA,"   1"
"UXRE10",NA,"   1"
"UXRF25",NA,"   1"
"UXRG50",NA,"   1"
"UXRG60/UXRG60",NA,"   1"
