"","date","XRUdefoto"
"1","2016-01-01"," 6"
"2","2016-01-04"," 8"
"3","2016-01-05","11"
"4","2016-01-06"," 9"
"5","2016-01-07","11"
"6","2016-01-08"," 5"
"7","2016-01-11"," 8"
"8","2016-01-12"," 4"
"9","2016-01-13"," 4"
"10","2016-01-14","10"
"11","2016-01-15"," 5"
"12","2016-01-18"," 7"
"13","2016-01-19"," 6"
"14","2016-01-20"," 6"
"15","2016-01-21"," 6"
"16","2016-01-22"," 4"
"17","2016-01-25"," 2"
"18","2016-01-26"," 8"
"19","2016-01-27"," 4"
"20","2016-01-28"," 6"
"21","2016-01-29","10"
"22","2016-02-01","12"
"23","2016-02-02"," 4"
"24","2016-02-03"," 6"
"25","2016-02-04"," 4"
"26","2016-02-05"," 2"
"27","2016-02-08"," 8"
"28","2016-02-09"," 9"
"29","2016-02-10","10"
"30","2016-02-11"," 3"
"31","2016-02-12","13"
"32","2016-02-15","10"
"33","2016-02-16"," 6"
"34","2016-02-17"," 8"
"35","2016-02-18"," 6"
"36","2016-02-19"," 7"
"37","2016-02-22"," 6"
"38","2016-02-23"," 8"
"39","2016-02-24"," 8"
"40","2016-02-25"," 8"
"41","2016-02-26"," 4"
"42","2016-02-29"," 7"
"43","2016-03-01"," 9"
"44","2016-03-02"," 8"
"45","2016-03-03"," 6"
"46","2016-03-04"," 7"
"47","2016-03-07"," 4"
"48","2016-03-08"," 4"
"49","2016-03-09"," 9"
"50","2016-03-10"," 3"
"51","2016-03-11"," 2"
"52","2016-03-14"," 8"
"53","2016-03-15"," 4"
"54","2016-03-16"," 5"
"55","2016-03-17"," 2"
"56","2016-03-18"," 8"
"57","2016-03-21"," 2"
"58","2016-03-22"," 4"
"59","2016-03-23","11"
"60","2016-03-24"," 3"
"61","2016-03-25"," 1"
"62","2016-03-28"," 5"
"63","2016-03-29"," 5"
"64","2016-03-30","10"
"65","2016-03-31"," 5"
"66","2016-04-01"," 9"
"67","2016-04-04"," 7"
"68","2016-04-05"," 6"
"69","2016-04-06"," 8"
"70","2016-04-07","11"
"71","2016-04-08"," 4"
"72","2016-04-11"," 9"
"73","2016-04-12"," 7"
"74","2016-04-13"," 6"
"75","2016-04-14"," 4"
"76","2016-04-15"," 2"
"77","2016-04-18"," 5"
"78","2016-04-19"," 5"
"79","2016-04-20"," 5"
"80","2016-04-21"," 8"
"81","2016-04-22"," 2"
"82","2016-04-25"," 3"
"83","2016-04-26"," 4"
"84","2016-04-27"," 8"
"85","2016-04-28"," 5"
"86","2016-04-29"," 7"
"87","2016-05-02"," 4"
"88","2016-05-03"," 4"
"89","2016-05-04"," 3"
"90","2016-05-05"," 6"
"91","2016-05-06"," 7"
"92","2016-05-09"," 3"
"93","2016-05-10"," 3"
"94","2016-05-11"," 6"
"95","2016-05-12"," 4"
"96","2016-05-13"," 5"
"97","2016-05-16"," 4"
"98","2016-05-17"," 4"
"99","2016-05-18"," 7"
"100","2016-05-19"," 7"
"101","2016-05-20"," 4"
"102","2016-05-23"," 4"
"103","2016-05-24"," 6"
"104","2016-05-25"," 3"
"105","2016-05-26"," 5"
"106","2016-05-27"," 4"
"107","2016-05-30"," 5"
"108","2016-06-01"," 4"
"109","2016-06-02"," 5"
"110","2016-06-03"," 4"
"111","2016-06-06"," 5"
"112","2016-06-07"," 6"
"113","2016-06-08"," 8"
"114","2016-06-09"," 3"
"115","2016-06-10"," 5"
"116","2016-06-13"," 7"
"117","2016-06-14"," 7"
"118","2016-06-15"," 7"
"119","2016-06-16","11"
"120","2016-06-17"," 7"
"121","2016-06-20"," 3"
"122","2016-06-21"," 5"
"123","2016-06-22"," 5"
"124","2016-06-23"," 3"
"125","2016-06-24"," 6"
"126","2016-06-27"," 7"
"127","2016-06-28"," 5"
"128","2016-06-29"," 5"
"129","2016-06-30","10"
"130","2016-07-01"," 4"
"131","2016-07-04"," 9"
"132","2016-07-05"," 4"
"133","2016-07-06"," 4"
"134","2016-07-07"," 3"
"135","2016-07-08"," 3"
"136","2016-07-11"," 4"
"137","2016-07-12"," 6"
"138","2016-07-13"," 3"
"139","2016-07-14"," 7"
"140","2016-07-15"," 3"
"141","2016-07-18"," 3"
"142","2016-07-19"," 1"
"143","2016-07-20"," 6"
"144","2016-07-21"," 2"
"145","2016-07-22"," 2"
"146","2016-07-25"," 7"
"147","2016-07-26"," 5"
"148","2016-07-27"," 3"
"149","2016-07-28"," 7"
"150","2016-07-29"," 2"
"151","2016-08-01"," 6"
"152","2016-08-02"," 4"
"153","2016-08-03"," 1"
"154","2016-08-04"," 9"
"155","2016-08-05"," 5"
"156","2016-08-08","10"
"157","2016-08-09"," 4"
"158","2016-08-10"," 6"
"159","2016-08-11"," 3"
"160","2016-08-12"," 4"
"161","2016-08-15"," 8"
"162","2016-08-16"," 4"
"163","2016-08-17"," 9"
"164","2016-08-18"," 3"
"165","2016-08-19"," 7"
"166","2016-08-22"," 4"
"167","2016-08-23"," 8"
"168","2016-08-24"," 5"
"169","2016-08-25"," 5"
"170","2016-08-26"," 5"
"171","2016-08-29"," 8"
"172","2016-08-30"," 4"
"173","2016-08-31"," 1"
"174","2016-09-01"," 7"
"175","2016-09-02"," 3"
"176","2016-09-05"," 3"
"177","2016-09-06"," 6"
"178","2016-09-07"," 8"
"179","2016-09-08"," 5"
"180","2016-09-09"," 5"
"181","2016-09-12"," 7"
"182","2016-09-13"," 2"
"183","2016-09-14"," 6"
"184","2016-09-15"," 4"
"185","2016-09-16"," 4"
"186","2016-09-19"," 5"
"187","2016-09-20"," 6"
"188","2016-09-21"," 5"
"189","2016-09-22"," 7"
"190","2016-09-23"," 1"
"191","2016-09-26"," 1"
"192","2016-09-27"," 6"
"193","2016-09-28"," 2"
"194","2016-09-29"," 8"
"195","2016-09-30"," 6"
"196","2016-10-03"," 5"
"197","2016-10-04"," 3"
"198","2016-10-05"," 8"
"199","2016-10-06"," 6"
"200","2016-10-07"," 7"
"201","2016-10-10"," 4"
"202","2016-10-11"," 8"
"203","2016-10-12"," 8"
"204","2016-10-13"," 4"
"205","2016-10-14"," 5"
"206","2016-10-17"," 9"
"207","2016-10-18"," 7"
"208","2016-10-19"," 2"
"209","2016-10-20"," 4"
"210","2016-10-21"," 4"
"211","2016-10-24"," 6"
"212","2016-10-25"," 5"
"213","2016-10-26"," 6"
"214","2016-10-27"," 1"
"215","2016-10-28"," 7"
"216","2016-10-31"," 4"
"217","2016-11-01"," 5"
"218","2016-11-02"," 3"
"219","2016-11-03"," 5"
"220","2016-11-04"," 8"
"221","2016-11-07"," 4"
"222","2016-11-08"," 7"
"223","2016-11-09"," 4"
"224","2016-11-10"," 8"
"225","2016-11-11"," 5"
"226","2016-11-14"," 1"
"227","2016-11-15"," 6"
"228","2016-11-16"," 6"
"229","2016-11-17"," 2"
"230","2016-11-18"," 9"
"231","2016-11-21"," 8"
"232","2016-11-22"," 5"
"233","2016-11-23"," 4"
"234","2016-11-24"," 7"
"235","2016-11-25"," 8"
"236","2016-11-28"," 3"
"237","2016-11-29"," 7"
"238","2016-11-30"," 6"
"239","2016-12-01"," 3"
"240","2016-12-02"," 8"
"241","2016-12-05"," 4"
"242","2016-12-06"," 4"
"243","2016-12-07"," 5"
"244","2016-12-08"," 4"
"245","2016-12-09"," 5"
"246","2016-12-12"," 7"
"247","2016-12-13"," 5"
"248","2016-12-14","10"
"249","2016-12-15"," 5"
"250","2016-12-16","10"
"251","2016-12-19"," 9"
"252","2016-12-20"," 8"
"253","2016-12-21"," 4"
"254","2016-12-22"," 5"
"255","2016-12-23"," 7"
"256","2016-12-26"," 7"
"257","2016-12-27"," 6"
"258","2016-12-28"," 4"
"259","2016-12-29"," 2"
"260","2016-12-30"," 5"
"261","2017-01-02"," 3"
"262","2017-01-03"," 7"
"263","2017-01-04"," 8"
"264","2017-01-05"," 7"
"265","2017-01-06"," 6"
"266","2017-01-09"," 7"
"267","2017-01-10","10"
"268","2017-01-11"," 5"
"269","2017-01-12"," 5"
"270","2017-01-13"," 1"
"271","2017-01-16"," 6"
"272","2017-01-17"," 5"
"273","2017-01-18"," 3"
"274","2017-01-19"," 9"
"275","2017-01-20"," 5"
"276","2017-01-23"," 3"
"277","2017-01-24"," 9"
"278","2017-01-25","11"
"279","2017-01-26"," 6"
"280","2017-01-27"," 7"
"281","2017-01-30"," 8"
"282","2017-01-31"," 5"
"283","2017-02-01"," 9"
"284","2017-02-02"," 5"
"285","2017-02-03"," 3"
"286","2017-02-06"," 7"
"287","2017-02-07"," 6"
"288","2017-02-08"," 2"
"289","2017-02-09"," 7"
"290","2017-02-10"," 6"
"291","2017-02-13"," 5"
"292","2017-02-14"," 6"
"293","2017-02-15"," 4"
"294","2017-02-16"," 4"
"295","2017-02-17"," 4"
"296","2017-02-20"," 7"
"297","2017-02-21"," 7"
"298","2017-02-22"," 9"
"299","2017-02-23"," 7"
"300","2017-02-24"," 5"
"301","2017-02-27"," 8"
"302","2017-02-28"," 2"
"303","2017-03-01"," 6"
"304","2017-03-02"," 7"
"305","2017-03-03"," 6"
"306","2017-03-06"," 7"
"307","2017-03-07"," 1"
"308","2017-03-08"," 9"
"309","2017-03-09"," 2"
"310","2017-03-10"," 6"
"311","2017-03-13"," 8"
"312","2017-03-14"," 5"
"313","2017-03-15"," 9"
"314","2017-03-16"," 6"
"315","2017-03-17"," 2"
"316","2017-03-20"," 9"
"317","2017-03-21"," 9"
"318","2017-03-22"," 8"
"319","2017-03-23"," 3"
"320","2017-03-24"," 6"
"321","2017-03-27","10"
"322","2017-03-28"," 4"
"323","2017-03-29"," 9"
"324","2017-03-30"," 4"
"325","2017-03-31"," 7"
"326","2017-04-03"," 4"
"327","2017-04-04"," 3"
"328","2017-04-05"," 3"
"329","2017-04-06"," 4"
"330","2017-04-07"," 5"
"331","2017-04-10"," 7"
"332","2017-04-11"," 7"
"333","2017-04-12"," 4"
"334","2017-04-13"," 3"
"335","2017-04-14"," 7"
"336","2017-04-17"," 6"
"337","2017-04-18"," 3"
"338","2017-04-19"," 3"
"339","2017-04-20"," 8"
"340","2017-04-21"," 2"
"341","2017-04-24"," 6"
"342","2017-04-25"," 5"
"343","2017-04-26"," 4"
"344","2017-04-27"," 6"
"345","2017-04-28"," 2"
"346","2017-05-01","11"
"347","2017-05-02"," 2"
"348","2017-05-03"," 6"
"349","2017-05-04"," 6"
"350","2017-05-05"," 7"
"351","2017-05-08"," 6"
"352","2017-05-09"," 3"
"353","2017-05-10"," 7"
"354","2017-05-11"," 4"
"355","2017-05-12"," 4"
"356","2017-05-15"," 2"
"357","2017-05-16"," 7"
"358","2017-05-17"," 2"
"359","2017-05-18"," 6"
"360","2017-05-19"," 7"
"361","2017-05-22"," 6"
"362","2017-05-23"," 4"
"363","2017-05-24"," 8"
"364","2017-05-25"," 4"
"365","2017-05-26"," 4"
"366","2017-05-29"," 5"
"367","2017-05-30"," 6"
"368","2017-05-31"," 4"
"369","2017-06-01"," 2"
"370","2017-06-02"," 5"
"371","2017-06-05"," 7"
"372","2017-06-06"," 8"
"373","2017-06-07"," 8"
"374","2017-06-08"," 3"
"375","2017-06-09"," 4"
"376","2017-06-12"," 9"
"377","2017-06-13"," 6"
"378","2017-06-14","10"
"379","2017-06-15"," 5"
"380","2017-06-16"," 5"
"381","2017-06-19"," 5"
"382","2017-06-20"," 5"
"383","2017-06-21"," 7"
"384","2017-06-22"," 2"
"385","2017-06-23"," 9"
"386","2017-06-26"," 7"
"387","2017-06-27"," 2"
"388","2017-06-28"," 3"
"389","2017-06-29"," 3"
"390","2017-06-30"," 3"
"391","2017-07-04"," 6"
"392","2017-07-05"," 5"
"393","2017-07-06"," 6"
"394","2017-07-07"," 4"
"395","2017-07-10"," 5"
"396","2017-07-11"," 4"
"397","2017-07-12"," 3"
"398","2017-07-13"," 4"
"399","2017-07-14"," 3"
"400","2017-07-17"," 7"
"401","2017-07-18"," 7"
"402","2017-07-19"," 4"
"403","2017-07-20","10"
"404","2017-07-21"," 4"
"405","2017-07-24"," 3"
"406","2017-07-25"," 1"
"407","2017-07-26"," 6"
"408","2017-07-27"," 3"
"409","2017-07-28"," 5"
"410","2017-07-31"," 5"
"411","2017-08-01"," 4"
"412","2017-08-02"," 3"
"413","2017-08-03"," 5"
"414","2017-08-04"," 6"
"415","2017-08-07"," 4"
"416","2017-08-08"," 7"
"417","2017-08-09"," 4"
"418","2017-08-10"," 7"
"419","2017-08-11"," 7"
"420","2017-08-14"," 8"
"421","2017-08-15"," 4"
"422","2017-08-16"," 4"
"423","2017-08-17"," 5"
"424","2017-08-18"," 6"
"425","2017-08-21"," 6"
"426","2017-08-22"," 2"
"427","2017-08-23"," 1"
"428","2017-08-24"," 7"
"429","2017-08-25","12"
"430","2017-08-28"," 7"
"431","2017-08-29"," 5"
"432","2017-08-30"," 4"
"433","2017-08-31"," 7"
"434","2017-09-01"," 7"
"435","2017-09-04"," 4"
"436","2017-09-05"," 5"
"437","2017-09-06"," 6"
"438","2017-09-07"," 3"
"439","2017-09-08"," 4"
"440","2017-09-11"," 4"
"441","2017-09-12"," 7"
"442","2017-09-13"," 6"
"443","2017-09-14"," 5"
"444","2017-09-15"," 1"
"445","2017-09-18"," 3"
"446","2017-09-19"," 5"
"447","2017-09-20"," 5"
"448","2017-09-21"," 2"
"449","2017-09-22"," 4"
"450","2017-09-25"," 7"
"451","2017-09-26"," 1"
"452","2017-09-27"," 3"
"453","2017-09-28"," 7"
"454","2017-09-29"," 3"
"455","2017-10-02"," 7"
"456","2017-10-03"," 4"
"457","2017-10-04"," 4"
"458","2017-10-05"," 5"
"459","2017-10-06"," 6"
"460","2017-10-09"," 5"
"461","2017-10-10"," 6"
"462","2017-10-11"," 9"
"463","2017-10-12"," 5"
"464","2017-10-13","10"
"465","2017-10-16"," 8"
"466","2017-10-17"," 4"
"467","2017-10-18"," 5"
"468","2017-10-19"," 2"
"469","2017-10-20"," 2"
"470","2017-10-23"," 5"
"471","2017-10-24"," 5"
"472","2017-10-25"," 6"
"473","2017-10-26"," 5"
"474","2017-10-27"," 5"
"475","2017-10-30"," 1"
"476","2017-10-31"," 7"
"477","2017-11-01"," 6"
"478","2017-11-02","12"
"479","2017-11-03"," 4"
"480","2017-11-06"," 4"
"481","2017-11-07"," 7"
"482","2017-11-08"," 7"
"483","2017-11-09"," 4"
"484","2017-11-10"," 8"
"485","2017-11-13"," 6"
"486","2017-11-14"," 6"
"487","2017-11-15"," 3"
"488","2017-11-16"," 6"
"489","2017-11-17"," 7"
"490","2017-11-20"," 6"
"491","2017-11-21"," 4"
"492","2017-11-22"," 5"
"493","2017-11-23"," 5"
"494","2017-11-24"," 7"
"495","2017-11-27"," 4"
"496","2017-11-28"," 4"
"497","2017-11-29"," 3"
"498","2017-11-30"," 5"
"499","2017-12-01"," 5"
"500","2017-12-04"," 3"
"501","2017-12-05"," 5"
"502","2017-12-06"," 7"
"503","2017-12-07"," 6"
"504","2017-12-08"," 6"
"505","2017-12-11","13"
"506","2017-12-12"," 8"
"507","2017-12-13"," 8"
"508","2017-12-14"," 5"
"509","2017-12-15"," 7"
"510","2017-12-18"," 6"
"511","2017-12-19"," 9"
"512","2017-12-20"," 2"
"513","2017-12-21"," 4"
"514","2017-12-22"," 2"
"515","2017-12-25"," 8"
"516","2017-12-26"," 6"
"517","2017-12-27"," 9"
"518","2017-12-28"," 5"
"519","2017-12-29"," 7"
"520","2018-01-01"," 9"
"521","2018-01-02"," 3"
"522","2018-01-03"," 7"
"523","2018-01-04"," 6"
"524","2018-01-05"," 3"
"525","2018-01-08"," 6"
"526","2018-01-09"," 7"
"527","2018-01-10","10"
"528","2018-01-11","10"
"529","2018-01-12"," 9"
"530","2018-01-15"," 7"
"531","2018-01-16"," 4"
"532","2018-01-17"," 3"
"533","2018-01-18","11"
"534","2018-01-19"," 7"
"535","2018-01-22"," 8"
"536","2018-01-23"," 9"
"537","2018-01-24","11"
"538","2018-01-25"," 6"
"539","2018-01-26"," 8"
"540","2018-01-29"," 7"
"541","2018-01-30"," 4"
"542","2018-01-31"," 8"
"543","2018-02-01"," 9"
"544","2018-02-02"," 8"
"545","2018-02-05"," 6"
"546","2018-02-06"," 8"
"547","2018-02-07"," 8"
"548","2018-02-08"," 4"
"549","2018-02-09"," 5"
"550","2018-02-12"," 7"
"551","2018-02-13"," 3"
"552","2018-02-14"," 7"
"553","2018-02-15"," 4"
"554","2018-02-16"," 6"
"555","2018-02-19"," 9"
"556","2018-02-20"," 8"
"557","2018-02-21"," 5"
"558","2018-02-22"," 8"
"559","2018-02-23","12"
"560","2018-02-26"," 5"
"561","2018-02-27"," 7"
"562","2018-02-28","10"
"563","2018-03-01"," 4"
"564","2018-03-02"," 4"
"565","2018-03-05"," 7"
"566","2018-03-06"," 6"
"567","2018-03-07"," 7"
"568","2018-03-08"," 6"
"569","2018-03-09"," 2"
"570","2018-03-12"," 7"
"571","2018-03-13"," 3"
"572","2018-03-14"," 5"
"573","2018-03-15"," 7"
"574","2018-03-16"," 7"
"575","2018-03-19"," 5"
"576","2018-03-20"," 9"
"577","2018-03-21"," 7"
"578","2018-03-22"," 7"
"579","2018-03-23"," 4"
"580","2018-03-26"," 3"
"581","2018-03-27"," 7"
"582","2018-03-28","10"
"583","2018-03-29"," 6"
"584","2018-03-30","10"
"585","2018-04-02"," 4"
"586","2018-04-03"," 7"
"587","2018-04-04"," 8"
"588","2018-04-05"," 9"
"589","2018-04-06"," 5"
"590","2018-04-09"," 5"
"591","2018-04-10"," 6"
"592","2018-04-11"," 3"
"593","2018-04-12"," 4"
"594","2018-04-13"," 5"
"595","2018-04-16"," 6"
"596","2018-04-17"," 5"
"597","2018-04-18"," 8"
"598","2018-04-19"," 8"
"599","2018-04-20"," 7"
"600","2018-04-23"," 3"
"601","2018-04-24","12"
"602","2018-04-25"," 6"
"603","2018-04-26"," 3"
"604","2018-04-27"," 2"
"605","2018-04-30"," 4"
"606","2018-05-01"," 4"
"607","2018-05-02"," 4"
"608","2018-05-03","10"
"609","2018-05-04"," 6"
"610","2018-05-07"," 2"
"611","2018-05-08"," 9"
"612","2018-05-09"," 3"
"613","2018-05-10"," 5"
"614","2018-05-11"," 5"
"615","2018-05-14"," 2"
"616","2018-05-15"," 4"
"617","2018-05-16"," 7"
"618","2018-05-17","10"
"619","2018-05-18"," 3"
"620","2018-05-21"," 4"
"621","2018-05-22"," 6"
"622","2018-05-23"," 9"
"623","2018-05-24"," 6"
"624","2018-05-25"," 1"
"625","2018-05-28"," 3"
"626","2018-05-29"," 3"
"627","2018-05-31"," 7"
"628","2018-06-01"," 8"
"629","2018-06-04"," 7"
"630","2018-06-05"," 3"
"631","2018-06-06"," 4"
"632","2018-06-07"," 5"
"633","2018-06-08"," 3"
"634","2018-06-11"," 4"
"635","2018-06-12"," 6"
"636","2018-06-13"," 1"
"637","2018-06-14"," 2"
"638","2018-06-15"," 4"
"639","2018-06-18"," 8"
"640","2018-06-19"," 1"
"641","2018-06-20"," 5"
"642","2018-06-21"," 4"
"643","2018-06-22"," 5"
"644","2018-06-25"," 6"
"645","2018-06-26"," 3"
"646","2018-06-27"," 1"
"647","2018-06-28"," 7"
"648","2018-06-29"," 4"
"649","2018-07-02"," 3"
"650","2018-07-03"," 2"
"651","2018-07-04"," 4"
"652","2018-07-05"," 3"
"653","2018-07-06"," 5"
"654","2018-07-09"," 1"
"655","2018-07-10"," 8"
"656","2018-07-11"," 8"
"657","2018-07-12"," 4"
"658","2018-07-13"," 3"
"659","2018-07-16"," 3"
"660","2018-07-17"," 7"
"661","2018-07-18"," 6"
"662","2018-07-19"," 2"
"663","2018-07-20"," 4"
"664","2018-07-23"," 1"
"665","2018-07-24"," 5"
"666","2018-07-25"," 1"
"667","2018-07-26"," 4"
"668","2018-07-27"," 4"
"669","2018-07-30"," 2"
"670","2018-07-31"," 6"
"671","2018-08-01"," 5"
"672","2018-08-02"," 7"
"673","2018-08-03"," 6"
"674","2018-08-06"," 6"
"675","2018-08-07"," 3"
"676","2018-08-08"," 6"
"677","2018-08-09"," 7"
"678","2018-08-10"," 7"
"679","2018-08-13"," 6"
"680","2018-08-14"," 7"
"681","2018-08-15"," 8"
"682","2018-08-16","10"
"683","2018-08-17"," 8"
"684","2018-08-20"," 3"
"685","2018-08-21"," 4"
"686","2018-08-22"," 6"
"687","2018-08-23","10"
"688","2018-08-24"," 6"
"689","2018-08-27"," 2"
"690","2018-08-28"," 2"
"691","2018-08-29"," 5"
"692","2018-08-30"," 6"
"693","2018-08-31"," 5"
"694","2018-09-03"," 4"
"695","2018-09-04"," 8"
"696","2018-09-05"," 8"
"697","2018-09-06"," 8"
"698","2018-09-07"," 9"
"699","2018-09-10"," 4"
"700","2018-09-11"," 7"
"701","2018-09-12"," 9"
"702","2018-09-13"," 9"
"703","2018-09-14"," 8"
"704","2018-09-17"," 7"
"705","2018-09-18"," 4"
"706","2018-09-19"," 6"
"707","2018-09-20"," 9"
"708","2018-09-21"," 3"
"709","2018-09-24"," 3"
"710","2018-09-25"," 2"
"711","2018-09-26"," 4"
"712","2018-09-27"," 1"
"713","2018-09-28"," 6"
"714","2018-10-01"," 6"
"715","2018-10-02"," 5"
"716","2018-10-03"," 4"
"717","2018-10-04"," 3"
"718","2018-10-05"," 5"
"719","2018-10-08"," 4"
"720","2018-10-09"," 2"
"721","2018-10-10"," 5"
"722","2018-10-11"," 3"
"723","2018-10-12"," 7"
"724","2018-10-15"," 5"
"725","2018-10-16"," 2"
"726","2018-10-17"," 5"
"727","2018-10-18"," 5"
"728","2018-10-19"," 6"
"729","2018-10-22"," 2"
"730","2018-10-23"," 6"
"731","2018-10-24"," 5"
"732","2018-10-25"," 7"
"733","2018-10-26"," 3"
"734","2018-10-29"," 2"
"735","2018-10-30"," 5"
"736","2018-10-31","10"
"737","2018-11-01"," 5"
"738","2018-11-02"," 8"
"739","2018-11-05"," 6"
"740","2018-11-06"," 7"
"741","2018-11-07"," 1"
"742","2018-11-08"," 9"
"743","2018-11-09"," 2"
"744","2018-11-12"," 5"
"745","2018-11-13"," 2"
"746","2018-11-14"," 3"
"747","2018-11-15"," 8"
"748","2018-11-16"," 5"
"749","2018-11-19"," 4"
"750","2018-11-20"," 8"
"751","2018-11-21"," 8"
"752","2018-11-22"," 4"
"753","2018-11-23"," 3"
"754","2018-11-26"," 4"
"755","2018-11-27"," 2"
"756","2018-11-28"," 7"
"757","2018-11-29"," 7"
"758","2018-11-30"," 5"
"759","2018-12-03"," 3"
"760","2018-12-04"," 4"
"761","2018-12-05"," 4"
"762","2018-12-06"," 5"
"763","2018-12-07"," 5"
"764","2018-12-10"," 5"
"765","2018-12-11"," 4"
"766","2018-12-12"," 2"
"767","2018-12-13"," 3"
"768","2018-12-14"," 5"
"769","2018-12-17"," 3"
"770","2018-12-18"," 4"
"771","2018-12-19"," 6"
"772","2018-12-20"," 3"
"773","2018-12-21"," 3"
"774","2018-12-24"," 7"
"775","2018-12-25"," 5"
"776","2018-12-26"," 3"
"777","2018-12-27"," 3"
"778","2018-12-28"," 2"
"779","2018-12-31"," 4"
"780","2019-01-01"," 8"
"781","2019-01-02"," 4"
"782","2019-01-03"," 5"
"783","2019-01-04"," 6"
"784","2019-01-07"," 2"
"785","2019-01-08"," 5"
"786","2019-01-09"," 5"
"787","2019-01-10"," 4"
"788","2019-01-11"," 4"
"789","2019-01-14"," 2"
"790","2019-01-15"," 5"
"791","2019-01-16"," 4"
"792","2019-01-17","10"
"793","2019-01-18"," 5"
"794","2019-01-21"," 3"
"795","2019-01-22"," 7"
"796","2019-01-23"," 5"
"797","2019-01-24"," 8"
"798","2019-01-25"," 3"
"799","2019-01-28"," 7"
"800","2019-01-29"," 7"
"801","2019-01-30","10"
"802","2019-01-31"," 8"
"803","2019-02-01"," 9"
"804","2019-02-04"," 8"
"805","2019-02-05"," 5"
"806","2019-02-06"," 8"
"807","2019-02-07"," 9"
"808","2019-02-08"," 9"
"809","2019-02-11","10"
"810","2019-02-12"," 7"
"811","2019-02-13"," 5"
"812","2019-02-14"," 3"
"813","2019-02-15"," 8"
"814","2019-02-18"," 3"
"815","2019-02-19"," 4"
"816","2019-02-20"," 5"
"817","2019-02-21"," 7"
"818","2019-02-22"," 5"
"819","2019-02-25"," 3"
"820","2019-02-26"," 4"
"821","2019-02-27"," 6"
"822","2019-02-28"," 3"
"823","2019-03-01"," 7"
"824","2019-03-04"," 2"
"825","2019-03-06"," 8"
"826","2019-03-07"," 4"
"827","2019-03-08"," 2"
"828","2019-03-11"," 2"
"829","2019-03-12"," 5"
"830","2019-03-13"," 4"
"831","2019-03-14"," 5"
"832","2019-03-15"," 8"
"833","2019-03-18"," 7"
"834","2019-03-19"," 6"
"835","2019-03-20"," 5"
"836","2019-03-21"," 7"
"837","2019-03-22"," 4"
"838","2019-03-25"," 5"
"839","2019-03-26"," 8"
"840","2019-03-27"," 8"
"841","2019-03-29"," 4"
"842","2019-04-01"," 4"
"843","2019-04-02"," 5"
"844","2019-04-03"," 5"
"845","2019-04-04"," 3"
"846","2019-04-05"," 5"
"847","2019-04-08"," 1"
"848","2019-04-10"," 5"
"849","2019-04-11"," 3"
"850","2019-04-12"," 5"
"851","2019-04-15"," 1"
"852","2019-04-16"," 6"
"853","2019-04-17"," 4"
"854","2019-04-19"," 5"
"855","2019-04-22"," 4"
"856","2019-04-23"," 1"
"857","2019-04-24"," 4"
"858","2019-04-25"," 5"
"859","2019-04-26"," 6"
"860","2019-04-29"," 4"
"861","2019-04-30"," 7"
"862","2019-05-01"," 3"
"863","2019-05-02"," 5"
"864","2019-05-03"," 4"
"865","2019-05-06"," 7"
"866","2019-05-07"," 8"
"867","2019-05-08"," 8"
"868","2019-05-09","11"
"869","2019-05-10"," 5"
"870","2019-05-13"," 7"
"871","2019-05-14"," 3"
"872","2019-05-15"," 6"
"873","2019-05-16","10"
"874","2019-05-17"," 6"
"875","2019-05-20"," 6"
"876","2019-05-21","10"
"877","2019-05-22"," 5"
"878","2019-05-23"," 4"
"879","2019-05-24"," 6"
"880","2019-05-27"," 5"
"881","2019-05-28"," 3"
"882","2019-05-29"," 3"
"883","2019-05-30"," 3"
"884","2019-05-31"," 5"
"885","2019-06-03"," 5"
"886","2019-06-04"," 4"
"887","2019-06-05"," 4"
"888","2019-06-06"," 2"
"889","2019-06-07"," 8"
"890","2019-06-10"," 6"
"891","2019-06-11"," 3"
"892","2019-06-12"," 8"
"893","2019-06-13"," 1"
"894","2019-06-14"," 5"
"895","2019-06-17"," 6"
"896","2019-06-18"," 3"
"897","2019-06-19"," 6"
"898","2019-06-20"," 3"
"899","2019-06-21"," 7"
"900","2019-06-24","10"
"901","2019-06-25"," 5"
"902","2019-06-26"," 6"
"903","2019-06-27"," 1"
"904","2019-06-28"," 2"
